Entity,Code,Year,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Retail,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Out-of-home consumption,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Households
Denmark,DNK,2019,29.68,20.56,81
Denmark,DNK,2020,17.08,10.74,79.2
Denmark,DNK,2021,17.05,12.31,86.6
Denmark,DNK,2022,16.99,11,78.97
Developing regions,,2019,,30.97,
Djibouti,DJI,2019,14.18,25.06,90.28
Djibouti,DJI,2022,9.67,31.11,89.06
Dominica,DMA,2019,15.72,27.79,72.81
Dominica,DMA,2022,18.29,45.76,87.9
Dominican Republic,DOM,2019,15.43,27.29,71.48
Dominican Republic,DOM,2022,19.01,47.55,160.26
East Timor,TLS,2019,15.79,27.92,87.19
East Timor,TLS,2022,44.2,40.29,77.85
Eastern and South-Eastern Asia (UN),,2019,15.89,38.65,68.41
Eastern and South-Eastern Asia (UN),,2022,27.22,41.21,70.18
Ecuador,ECU,2019,15.67,27.7,72.56
Ecuador,ECU,2022,19,47.54,95.97
Egypt,EGY,2019,14.87,26.28,86.51
Egypt,EGY,2022,9.68,31.14,162.95
El Salvador,SLV,2019,16.07,28.41,82.29
El Salvador,SLV,2022,19.02,47.57,91.39
Equatorial Guinea,GNQ,2019,13.66,24.14,80.28
Equatorial Guinea,GNQ,2022,15.32,30.83,90.05
Eritrea,ERI,2019,15.63,27.63,102.64
Eritrea,ERI,2022,9.67,31.1,91.9
Estonia,EST,2019,4.7,16.59,77.42
Estonia,EST,2020,15.03,8.08,60.6
Estonia,EST,2021,9.87,9.39,63.95
Estonia,EST,2022,15.04,8.02,61.18
Eswatini,SWZ,2019,15.35,27.14,97.76
Eswatini,SWZ,2022,9.66,31.09,89
Ethiopia,ETH,2019,15.36,27.15,90.49
Ethiopia,ETH,2022,9.68,31.14,69.24
Europe (UN),,2019,11.97,24.51,66.11
Europe (UN),,2022,9.5,13.5,66.22
Europe and Northern America (UN),,2019,13.09,35.94,64.38
Europe and Northern America (UN),,2022,10.91,33.96,68.71
Falkland Islands,FLK,2022,0,0,0
Faroe Islands,FRO,2019,12.07,24.1,71.79
Faroe Islands,FRO,2022,11.19,16.66,70.98
Fiji,FJI,2019,15.16,26.79,73.37
Fiji,FJI,2022,21.05,30.71,90.29
Finland,FIN,2019,12.84,23.35,65.55
Finland,FIN,2020,10.41,14.09,53.44
Finland,FIN,2021,10.38,14.63,62.67
Finland,FIN,2022,10,14,52.99
France,FRA,2019,25.89,24.76,85.75
France,FRA,2020,9.97,17,62.41
France,FRA,2021,9.81,16.8,63.27
France,FRA,2022,12,16,61
French Guiana,GUF,2022,14.18,22.48,93.17
French Polynesia,PYF,2019,11.94,23.83,73.33
French Polynesia,PYF,2022,13.31,20.84,82.45
Gabon,GAB,2019,15.15,26.78,89.06
Gabon,GAB,2022,15.37,30.93,90.35
Gambia,GMB,2019,14.64,25.87,96.1
Gambia,GMB,2022,9.69,31.18,92.13
Georgia,GEO,2019,16.58,29.31,107.03
Georgia,GEO,2022,31.43,29.37,100.86
Germany,DEU,2019,5.99,20.67,75.33
Germany,DEU,2020,9.15,22.33,77.96
Germany,DEU,2022,9,22,78
Ghana,GHA,2019,15.09,26.68,81.06
Ghana,GHA,2022,9.68,31.14,84.02
Gibraltar,GIB,2019,13.21,26.36,86.89
Gibraltar,GIB,2022,9.9,17.9,75.79
Greece,GRC,2019,7.31,25.33,140.34
Greece,GRC,2020,14.31,20.93,88.5
Greece,GRC,2022,14.01,21.01,87.04
Greenland,GRL,2019,12.99,25.92,74.7
Greenland,GRL,2022,18.06,51.7,83.55
Grenada,GRD,2019,14.27,25.23,66.1
Grenada,GRD,2022,19.7,49.28,94.66
Guadeloupe,GLP,2022,14.55,23.06,95.6
Guam,GUM,2019,12.71,25.37,78.07
Guam,GUM,2022,13.01,20.37,59.23
Guatemala,GTM,2019,16.07,28.42,74.44
Guatemala,GTM,2022,19,47.54,91.32
Guinea,GIN,2019,15.51,27.42,101.85
Guinea,GIN,2022,9.68,31.14,89.13
Guinea-Bissau,GNB,2019,15.25,26.95,100.11
Guinea-Bissau,GNB,2022,9.7,31.2,92.19
Guyana,GUY,2019,15.33,27.1,70.99
Guyana,GUY,2022,15.08,42.56,88.16
Haiti,HTI,2019,15.78,27.9,83.95
Haiti,HTI,2022,13.33,47.79,90.19
Honduras,HND,2019,15.31,27.06,78.37
Honduras,HND,2022,13.32,47.75,90.12
Hong Kong,HKG,2019,12.71,25.37,70.83
Hong Kong,HKG,2022,13.74,24.71,101.47
Hungary,HUN,2019,12.7,25.34,92.99
Hungary,HUN,2020,4.3,1.98,65.62
Hungary,HUN,2021,5.9,1.99,65.36
Hungary,HUN,2022,4,2,66.02
Iceland,ISL,2019,12.04,24.03,71.59
Iceland,ISL,2022,11.79,17.56,74.78
India,IND,2019,15.45,27.31,49.71
India,IND,2022,9.68,32.49,55.17
Indonesia,IDN,2019,15.7,27.76,77.67
Indonesia,IDN,2022,49.93,40.11,53.46
Iran,IRN,2019,14.98,26.48,67.98
Iran,IRN,2022,9.68,32.49,92.7
Iraq,IRQ,2019,14.79,26.15,113.91
Iraq,IRQ,2022,31.47,30.16,143.34
Ireland,IRL,2019,12.78,55.99,54.55
Ireland,IRL,2020,14.59,36.09,48.73
Ireland,IRL,2021,15.04,37.89,44.28
Ireland,IRL,2022,11.99,35.98,47.97
Isle of Man,IMN,2019,12.91,25.77,76.79
Isle of Man,IMN,2022,11.24,16.75,71.34
Israel,ISR,2019,50.88,27.16,98.56
Israel,ISR,2022,50.01,24.16,96.75
Italy,ITA,2019,3.68,25.92,67.97
Italy,ITA,2020,5.77,3.26,106.43
Italy,ITA,2021,8.01,4.44,107
Italy,ITA,2022,6,19.48,107
Jamaica,JAM,2019,16.39,28.97,75.9
Jamaica,JAM,2022,19.02,47.59,86.07
Japan,JPN,2008,10.22,23.2,83.7
Japan,JPN,2009,10.52,20.86,80.55
Japan,JPN,2010,9.3,17.89,83.68
Japan,JPN,2011,9.96,14.66,79.21
Japan,JPN,2012,9.57,14.99,69.18
Japan,JPN,2013,9.7,14.76,68.14
Japan,JPN,2014,9.95,15.2,64.51
Japan,JPN,2015,10.02,15.68,65.35
Japan,JPN,2016,10.01,15.7,62.12
Japan,JPN,2017,9.71,16.28,61.85
Japan,JPN,2018,9.69,17.01,60.69
Japan,JPN,2019,9.42,15.1,59.91
Japan,JPN,2020,8.86,12.02,59.68
Japan,JPN,2022,8.86,12.02,59.68
Jordan,JOR,2019,14.77,26.11,87.85
Jordan,JOR,2022,25.79,29.63,100.73
Kazakhstan,KAZ,2019,15.47,27.35,74.89
Kazakhstan,KAZ,2022,21.04,30.7,88.1
Kenya,KEN,2019,11.31,32.13,102.4
Kenya,KEN,2022,10.96,31.14,80.54
Kiribati,KIR,2019,14.8,26.17,86.15
Kiribati,KIR,2022,9.59,30.85,61.39
Kuwait,KWT,2019,12.14,24.22,89.55
Kuwait,KWT,2022,27.52,24.35,98.59
Kyrgyzstan,KGZ,2019,15.87,28.05,92.34
Kyrgyzstan,KGZ,2022,9.68,31.13,85.71
Laos,LAO,2019,15.55,27.48,85.83
Laos,LAO,2022,44.25,40.34,89.49
Latin America and the Caribbean (UN),,2019,15.47,27.55,72.85
Latin America and the Caribbean (UN),,2022,16.9,49.45,94.22
Latvia,LVA,2019,12.75,25.44,75.79
Latvia,LVA,2020,7.78,18.68,82.5
Latvia,LVA,2021,8.95,15.27,73.08
Latvia,LVA,2022,8,18.99,81.97
Least Developed Countries (LDCs),,2019,15.66,23.51,93.66
Least Developed Countries (LDCs),,2022,12.67,32.24,91.47
Lebanon,LBN,2019,18.54,32.78,124.09
Lebanon,LBN,2022,25.78,29.62,127.84
Lesotho,LSO,2019,14.93,26.4,95.1
Lesotho,LSO,2022,9.7,31.19,89.29
Liberia,LBR,2019,15.49,27.38,101.71
Liberia,LBR,2022,9.67,31.12,91.95
Libya,LBY,2019,16.14,28.53,78.12
Libya,LBY,2022,21.04,30.69,84.1
Liechtenstein,LIE,2019,12.65,25.25,70.78
Liechtenstein,LIE,2022,12.46,19.1,82.27
Lithuania,LTU,2019,12.41,24.77,73.79
Lithuania,LTU,2020,9.69,1.59,85.66
Lithuania,LTU,2021,12.18,1.67,86.69
Lithuania,LTU,2022,10,2,86
Luxembourg,LUX,2019,7.15,20.76,88.63
Luxembourg,LUX,2020,13.52,13.86,90.8
Luxembourg,LUX,2021,13.86,14.81,73.09
Luxembourg,LUX,2022,14.05,14.05,91.34
Macao,MAC,2019,12.36,24.67,68.9
Macao,MAC,2022,13.84,24.88,76.26
Madagascar,MDG,2019,15.32,27.08,100.59
Madagascar,MDG,2022,9.68,31.14,91.99
